trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
64,False,"{'a': 0.5, 'e': 0.8719999999999999}",20,0,-155.9829573730861,"{0: 9, 1: 2, 2: 6, 3: 1, 4: 2}",0
65,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-75.0827993259756,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.8679999999999999}",20,0,-85.74520084026452,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.8659999999999999}",30,2,-82.57876091501723,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.8639999999999999}",30,0,-147.70125925133289,"{0: 15, 1: 5, 2: 8, 3: 1, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.8619999999999999}",20,0,-60.96974863174099,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.8599999999999999}",35,0,-169.09181939965438,"{0: 21, 1: 2, 2: 10, 3: 0, 4: 2}",0
71,False,"{'a': 0.5, 'e': 0.8579999999999999}",25,0,-105.2023925902593,"{0: 13, 1: 7, 2: 3, 3: 1, 4: 1}",0
72,False,"{'a': 0.5, 'e': 0.8559999999999999}",35,9,-171.46588490384983,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 3}",1
73,False,"{'a': 0.5, 'e': 0.8539999999999999}",20,0,-81.61973790604387,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.8519999999999999}",20,0,-12.86998510654166,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-174.35969104843062,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
76,False,"{'a': 0.5, 'e': 0.8479999999999999}",35,0,-124.13587203526784,"{0: 26, 1: 1, 2: 5, 3: 1, 4: 2}",0
